Source_Language,Word,First_Use_Year,MW_Included,Category,Max_Frequency,Mean_Frequency,Non_Zero_Years,Is_Multi_Source,Source_Count
日语,shabu-shabu,1967,1,火锅,,,,0,1
汉语,general tso's,,0,菜品,,,,0,1
汉语,sweet sesame balls,,0,甜品,,,,0,1
汉语,pu-erh,,0,茶,,,,0,1
法语,hors d'oeuvre,1714,1,开胃菜,,,,0,1
德语,rinderbraten,,0,菜品,,,,0,1
土耳其语,yuzushu,,0,饮品,,,,0,1
土耳其语,est! est!! est!!!,,0,饮品,,,,0,1
土耳其语,aperol spritz,,0,饮品,,,,0,1
韩语,jjamppong,,0,面食,,,,0,1
韩语,chogochujang,,0,调味品,,,,0,1
韩语,bokbunja,,0,饮品,,,,0,1
韩语,misugaru,,0,饮品,,,,0,1
韩语,oksusu cha,,0,饮品,,,,0,1
韩语,hyeonmi cha,,0,饮品,,,,0,1
韩语,hwangcha,,0,饮品,,,,0,1
韩语,cheongtaek,,0,饮品,,,,0,1
韩语,baekcha,,0,饮品,,,,0,1
韩语,yakcha,,0,饮品,,,,0,1
韩语,tteokcha,,0,饮品,,,,0,1
韩语,byeongcha,,0,饮品,,,,0,1
韩语,garucha,,0,饮品,,,,0,1
韩语,ipcha,,0,饮品,,,,0,1
韩语,deokcha,,0,饮品,,,,0,1
韩语,jeongcha,,0,饮品,,,,0,1
德语,bratkartoffeln,,0,菜品,1.0024292903690731e-10,8.899792823026459e-12,51.0,0,1
韩语,dotorimuk,,0,食材,2.384863875826149e-10,1.1684337597586783e-11,23.0,0,1
韩语,tangsuyuk,,0,菜品,2.614158423460847e-10,1.3913784419234608e-11,24.0,0,1
韩语,sujeonggwa,,0,饮品,2.6570445546151127e-10,1.3931349553727803e-11,23.0,0,1
纳瓦特尔语,xtabentún,,0,饮品,3.149648875044875e-10,1.5051128382123862e-11,41.0,0,1
韩语,haemul pajeon,,0,菜品,3.5784896375488726e-10,1.8185501739688968e-11,30.0,0,1
韩语,boricha,,0,饮品,3.2100190561212827e-10,1.8731136742848156e-11,43.0,0,1
印地语/乌尔都语,gol gappa,,0,小吃,3.76166665277162e-10,2.0850387232170397e-11,46.0,0,1
韩语,maesil,,0,饮品,3.6523313242823157e-10,2.1236435811732956e-11,44.0,0,1
土耳其语,campari soda,,0,饮品,1.6915527807835418e-10,2.132051449528337e-11,68.0,0,1
